PID,Gender,Age,Handedness,Video Games,3D Environment,Immersive Tech,Condition,Presentation,Stress feedback,C,Order,Trial duration,Time Spent assigning task,Idle Time,Portion of time worked,Team success,Team failure,Team Success Rate,Team Score,Team Score per task,Team Score per minute,stress,queue,compl,allcompl,hist,portion,success,score,rank_stress,rank_queue,rank_compl,rank_allcompl,rank_hist,rank_portion,rank_success,rank_score,strategy,speed,mental,physical,temporal,performance,effort,frustration,frequency,simple,easy,support,integration,consistency,learning,intuitive,confident,prerequisites,taskQueue_pref,currentTaskCompl_pref,allTasksCompl_pref,taskHistory_pref,portionWorking_pref,success_pref,score_pref,stress_pref,strategyChange,stressFB,stressErrorCheck,prefLiteral,prefSymbolic,combinations,remarks
104,Male,18,Right-handed,4,2,2,Symbolic Stress,Symbolic,Stress,2,1,713.326,561.103,152.22300000000007,0.5083333333333333,124.0,52.0,0.7045454545454546,127.11000000000001,0.7045454545454546,10.691605240801541,5,5,5,3,1,2,4,3,8,4,6,2,1,7,5,3,"Wait for the stress graph to display a bit of green and then dispatch tasks immediately, because green means highest chance of sucess and more score. ",4,3,1,5,3,5,2,4,4,5,5,5,5,5,4,5,5,Literal with Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"yes, because i can see different data of each operator like their stress and sucess rate, so i have to change my strategy e.g. it used to have stress graph which change simutaneously , but then the next scenerio changed it to a pending update one which cause me have to give everyone operator a try in order to calculate speed of each one, wasting some score.","Yes, because the stress level is related  to the operator's task sucess rate, if a operator have a score arte of 99% but the stress is at 90 %, it is possible to waste the task, time and score on this operators, so i think stress feedback is important because it decide whether you can get a score or not.",No,"The stress graph have 2 important data for me, one is % of stress and other is level(low,medium,high), i think if the stress is at 30 % and the '30%' was able to be inlined as green, the level below it, 'low' such also be inlined as green .","To add the sucess rate so that i can calculate fast, and the stress graph can add a overall % above the graph so that i won't have to wait and estimate how long the stress level goes down to 'low' level. ","a stress board from Literal with sucess rate and score rate board , remove thetask history and replace by others board like stress graph from symbolic.","Sometime the operator status board was cover by others operator's status board, it would be better to fix that. Also the table is not large enough, there were few times where i drop some box on the floor and it respawn on the top, the table were full of boxs and the box were drop into the operator's black box, it would be better to have ab igger table and just turn the table into a bucket so thing inside won't fell out."
105,Female,27,Right-handed,3,1,3,Symbolic Stress,Symbolic,Stress,2,3,686.211,299.215,386.99600000000004,0.5183333333333332,95.0,77.0,0.5523255813953488,98.66000000000001,0.5523255813953488,8.626501178209034,5,5,3,2,2,3,4,4,8,6,2,1,7,3,5,4,Looking at the stress level and how many current tasks are in the loop,5,3,1,2,3,3,2,4,5,5,5,3,4,5,5,5,5,Literal without Stress,Literal without Stress,Literal with Stress,Symbolic with Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Symbolic without Stress,"Yes, depending if I had a symbolic or non symbolic layout I used different features stronger or less","yes, I would like to have an overview of the stress level has it helps to decide when to integrate breaks",Yes,"Less text, if literal then number based","easy understanding of the information provided, more intuitive","stress level in percentage, success/failure rate from literal environment (last one), task queue & history from literal because it's less confusing,","I would integrate ""I liked"" and ""I don't liked"" questions into each test questionnaire because it was harder for me to remember what specifically I preferred or not"
106,Male,28,Right-handed,5,5,5,Symbolic Stress,Symbolic,Stress,2,4,765.186,592.584,172.6020000000001,0.4883333333333333,164.0,11.0,0.9371428571428572,162.68,0.9371428571428572,12.756114199684783,5,5,5,4,3,4,5,4,8,7,5,3,2,1,6,4,Focused on stress levels and success/failure to assign tasks and give operators time to rest,5,4,2,2,4,4,1,5,5,5,5,5,5,5,5,5,5,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"Yes, when I have the stress I can focus mainly on that. But when I don't I have to focus on multiple other thing such as: Success/Failure and score.","Really helpful, helps predict next tasks success probability. And therefore, helps with assigning tasks or let operators rest.",Yes,The success/failure rate,The Stress levels,Use the symbolic stress and the literal success/failure representation. the other components are good in both.,"Try adding different skilled operators, and maybe rather than just success or failure (true or false) add the success rate of each task. (if an operator achieves 65 success of a task, it might increase their stress with the next task)"
107,Male,24,Right-handed,3,3,2,Symbolic Stress,Symbolic,Stress,2,2,790.133,249.743,540.3900000000001,0.4916666666666667,170.0,6.0,0.9659090909090909,165.12,0.9659090909090909,12.538648556635403,5,4,3,1,1,1,2,2,8,7,6,3,1,2,4,5,keep the stress level green (anticipate the end of the task level),5,2,2,2,2,2,3,5,5,5,5,5,5,4,5,5,5,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic with Stress,yes if possible I use the stress,"a lot, then I can reliably predict if it will be successful",Yes,nothing,fast reading,none,nan
108,Male,23,Right-handed,3,5,2,Symbolic Stress,Symbolic,Stress,2,1,740.976,418.592,322.384,0.5066666666666667,152.0,23.0,0.8685714285714285,142.85999999999999,0.8685714285714285,11.56798600764397,5,2,4,2,1,2,4,4,8,5,3,2,1,4,6,7,Watching stress going down and score going up,2,3,2,2,3,2,2,4,5,5,5,4,5,3,4,5,5,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,I changed a little with the stress but keep the score/success literal or not,yes because it directly impact the success rate,Yes,"the size of the score and success number, the average (50%) is more visual than the camembert",the stress bar chart,stress bar chart + success/score in literal,the supervisor was too talkative ;)
109,Female,27,Right-handed,1,1,1,Symbolic Stress,Symbolic,Stress,2,3,965.283,569.707,395.576,0.4033333333333333,165.0,11.0,0.9375,163.26000000000002,0.9375,10.147904811335122,5,5,5,5,5,5,5,5,8,5,4,1,3,2,7,6,"The stress level, the score and success rate guided me to who and when I should assign a task.",5,5,4,4,4,4,2,2,4,5,2,5,5,4,5,5,3,Literal with Stress,Literal without Stress,Literal with Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,No. My strategy remained the same because I tried to ensure that all the operators tasks and rest were well balanced.,"Absolutely. As a team leader it would be useful to have an indicator of the stress levels of your team members. Otherwise, you might keep assigning tasks to an operator that is highly stressed and this will impact the success of the task completion.",Yes,The numeric representation of the score and success rates.,I liked how the stress levels were represented in a graph format. It was easy to track the current and past stress levels.,Everything in the Literal Visualization should remain the same except for the stress levels. Replace the stress level representation of the Literal Visualization with that of the Symbolic Visualization.,None.
110,Female,26,Right-handed,2,5,3,Symbolic Stress,Symbolic,Stress,2,4,722.677,244.573,478.10400000000004,0.5033333333333333,53.0,121.0,0.3045977011494253,53.760000000000005,0.3045977011494253,4.463404812938561,5,2,4,4,4,4,4,4,8,1,2,3,5,4,6,7,"focus on stress meter, completed task numbers and success rates",5,5,5,3,1,4,3,4,4,4,3,4,4,4,3,3,4,Literal with Stress,Literal with Stress,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,"Depending on how data is visualized, the strategy will alter to adapt",yes because it is the meter to evaluate their performance,No,Numbers,Graphs and charts,"Depending on the display data. For evaluating elements such as score, success rates, stress level, charts and graphs are better while numeric elements such as task history, task in queue should be literal. Hybrid elements can be the progress bars.",Too bright for my eyes.
111,Male,28,Right-handed,5,4,5,Symbolic Stress,Symbolic,Stress,2,2,706.501,487.464,219.03699999999998,0.55,80.0,96.0,0.45454545454545453,85.45000000000002,0.45454545454545453,7.2568899407078,5,4,3,2,3,4,5,3,1,8,4,7,5,6,3,2,Mostly checked the stress levels of each operator and their success rate. As the operator's stress level decreased I usually gave them a task over an operator that trended toward red. ,4,4,5,4,3,4,4,4,4,4,4,4,2,4,4,4,4,Symbolic with Stress,Literal without Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,Symbolic without Stress,Symbolic with Stress,"Conditions with stress indicators I tended to assign tasks to operators that were the least stressed. Stress (symbolic) made me more empathetic towards the operators than other conditions; however, tasks were more stressful to manage. ","Yes, to be empathetic towards operators; otherwise they can get overworked. ",No,It made me look less toward the stress levels and maybe more throughput of tasks were achieved - I can't be sure though.,Made me more empathetic towards the operators. ,Probably stress visualisation.,The representation of task management was interesting (using VR) and throwing tasks in an embodied way. 
112,Female,29,Right-handed,2,4,4,Symbolic Stress,Symbolic,Stress,2,1,683.148,330.051,353.09700000000004,0.5499999999999999,47.0,125.0,0.27325581395348836,49.71,0.27325581395348836,4.365964622600081,5,1,5,5,1,1,1,1,8,1,7,2,3,4,5,6,"check their stress level only, based on the stress level to assign the tasks while everyone in the medium stress level. once it reach to the high stress level, then i purposely leave two workers to take rest as much as i can give to lower their stress level then only assign the tasks to them. 

When I'm doing the tasks, I only checked the stress level and the current task completion. the rest of information I didn't check it at all. ",1,4,4,3,2,4,2,5,5,5,5,5,5,5,1,5,2,Literal with Stress,Symbolic without Stress,Symbolic with Stress,Literal with Stress,Literal without Stress,Literal with Stress,Literal with Stress,Literal with Stress,"yes, then there is not stress level showing, then i have to rely on the increasing and descreasing of the success level to judge it. when it have the stress level then i will rely on the stress level and success level without assign some testing tasks to make the judgement. ","yes, it will tell if the success rate increasing or decreasing ",No,"the stress level and success rate, and score ",all completion tasks bar and current completion ,all the completion task and current task ,"would be better to highlight the final task success score is based on the success rate in the game. personally, I would prefer the combination of the literal and symbolic such as success rate, score and stress using literal but the all completion tasks and current tasks using symbol. I feel the timer to reduce to which level could change to the symbolic, because it is less likely will read them all at once for me. having a visual assistant would help rather than reading them. "
113,Female,33,Right-handed,4,4,4,Symbolic Stress,Symbolic,Stress,2,3,650.434,147.468,502.966,0.5733333333333334,46.0,130.0,0.26136363636363635,49.489999999999995,0.26136363636363635,4.565259503654483,5,4,1,1,1,1,5,5,8,5,3,4,2,1,6,7,I still check stress level because it is really visually dominating and very easy to check if i have to rely on something to give instructions. I then check success and score pie chart because they are also very easy to interpret visually. I think i rely a lot on visual domination/color/size to interpret each operators ability. I obviously didn't pay much attention to the small text and visualizations. not because they are unimportant but i think my mental load only give me this much capacity to pay attention to dominate visual elements and they seem more than enough to work on this task,3,3,4,3,2,4,3,4,4,4,3,5,4,4,4,4,3,Literal without Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic with Stress,yes. i usually look at stress level first when its available then the score and success when stress is not available. I think stress level is usually very visually dominating to me so i am dawned to see it more often but it also help me judge how my operator works. Success and score would be the second items i refer to equally as it tells me how i should assign tasks to each operator.  i sometimes looks at current task and history to evenly distribute them but i don't find it crucial and i only do that when my operators are all loaded.,yes. it is something i primarily rely on because its visually easy to understand as a reference. but i think anything that is design visually dominating to me among stress/success/score i will pay attention to all three.,Yes,no,yes,"i like task queue literal, stress level success and score symbolic. so when i refer to those it doesnt cover up the entire screen which sometimes is distracting and visually exhausting. to the point sometimes i shut down and go blind on certain information i found too ""busy"".",I think its a very interesting task and system. i personally think the visual design might have influenced how i prioritize information as they are not equally distributed the same size/color/motion so certain information gets my attention. but if you wanted to emphasize certain information i think its a good design to capture my attention on stress level for sure. :P
114,Female,54,Right-handed,2,1,1,Symbolic Stress,Symbolic,Stress,2,4,816.581,407.121,409.46000000000004,0.5166666666666666,104.0,75.0,0.5810055865921788,104.56999999999998,0.5810055865921788,7.683499861005826,5,4,4,2,2,1,5,5,8,5,4,1,2,3,7,6,"stress, success then score",4,3,1,2,3,2,1,1,4,4,5,5,3,5,5,2,4,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,"yes, stress became more important in the last scenario, when it was represented visually","Yes, as it's linked to success of tasks completed, as well as operator safety and wellbeing",Yes,Success and scores,stress,Symbolic stress and literal success and scores,"I couldn't read some fields during the simulations, e.g. time to complete task and task history. The tasks were clearly explained to me. All the best with the research!"
115,Male,24,Right-handed,5,4,4,Symbolic Stress,Symbolic,Stress,2,2,811.394,668.573,142.82100000000003,0.48666666666666664,173.0,4.0,0.9774011299435028,172.24,0.9774011299435028,12.736598988900585,5,1,1,1,1,1,1,1,8,5,4,3,2,1,6,7,stay in green,2,2,1,1,1,1,3,5,4,4,5,4,3,5,5,5,5,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Symbolic with Stress,Literal with Stress,"yes, I was changing according to the different prompt","yes, having feedback from the operator allows us to tell if he can work more or rest.",No,better for unnecessary component since it takes less space and more accurate for stress ,easier to tell what it is with a rapid look,none,nan
116,Male,36,Left-handed,4,4,4,Symbolic Stress,Symbolic,Stress,2,1,759.680,366.787,392.893,0.5133333333333333,112.0,63.0,0.64,110.64,0.64,8.738416175231677,4,4,2,2,5,2,3,3,8,6,3,1,7,2,5,4,Avoiding operator's stress level reaches to red zone,3,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,Symbolic with Stress,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,"Without stress level, I assigned the tasks based only on the success rate and score.","In order to increase the success rate of the tasks, the stress level is only indicator.",Yes,It is easy to notice the success/failure and score.,It is easy to notice task history and task queue. (easy to load balancing of tasks),"Literal condition (success/failure, score), Symbolic condition (task history, queue, stress level)",nan
117,Male,33,Right-handed,5,5,5,Symbolic Stress,Symbolic,Stress,2,3,854.167,605.744,248.423,0.48,173.0,3.0,0.9829545454545454,171.99,0.9829545454545454,12.081244065855975,5,1,1,3,1,1,1,1,1,6,7,5,8,3,2,4,"If stress levels of a worker was low, give them a task. I could sometimes give them two tasks to save myself some effort as I know how much each task stresses them.",4,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"Yes, the only thing you really needed with the stress conditions is stress. Without stress I needed to rely on a combination of other components.","Yes, it makes it a lot easier to assign tasks to get the maximum score",Yes,Numbers make it easier to read.,The stress graph had a time aspect to it.,I would remove everything except the stress graph because that is all that is needed - and I like the stress graph more than just the number. The rest is just clutter when the stress indicator exists.,nan
118,Male,26,Right-handed,5,5,5,Symbolic Stress,Symbolic,Stress,2,4,778.694,723.820,54.87399999999991,0.515,135.0,40.0,0.7714285714285715,136.21,0.7714285714285715,10.495265149082952,5,1,2,1,1,3,3,3,1,8,7,4,6,5,3,2,I watched the stress indicators and tried to keep the workers around the 50% mark. I didn't really use any of the other indicators when the stress indicator was visible. ,5,4,3,3,3,4,1,5,5,5,4,4,5,5,5,4,4,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,When there was a stress indicator I only used that to distribute tasks. When there was no stress indicator I used the failure/score to indicate when to assign a task and when to wait for their stress level to reduce.,"Yes. Although it felt like ""cheating"" a bit because in the real world you wouldn't be able to see the stress level of workers. Its important for these tasks I think because I could more easily balance out the task work load.",Yes,I think I can understand percentages and numbers (especially success / score) a lot easier than pie graphs.,The stress level graph was clearer to read for me than a simple percentage number and I could also see a bit in the past of their stress level.,Symbolic Stress + Literal everything else. (And maybe keep the stress percentage on the symbolic stress as well).,nan
119,Male,28,Right-handed,5,5,4,Symbolic Stress,Symbolic,Stress,2,2,799.829,405.914,393.91499999999996,0.5016666666666668,158.0,18.0,0.8977272727272727,156.28000000000003,0.8977272727272727,11.723505899385996,5,2,2,2,2,2,4,3,8,4,3,2,1,5,7,6,I looked at what the stress levels were and gave tasks to the operators that had a lower stress level,3,4,2,3,2,3,2,4,4,4,3,4,4,3,4,5,3,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,For the conditions that had stress levels i assigned tasks based on operator stress levels and for conditions without stress levels i assigned tasks based on success rate.,It helps to decided who to assign tasks,Yes,Having the written information available to read quickly,the boxes looked cool,Literal with the addition of the graph,nan
120,Male,29,Right-handed,4,2,4,Symbolic Stress,Symbolic,Stress,2,1,784.696,501.428,283.26800000000003,0.5216666666666667,108.0,66.0,0.6206896551724138,111.66,0.6206896551724138,8.53782866230999,5,3,4,4,3,4,5,5,1,6,4,5,7,8,2,3,I assigned tasks based on the stress level increasing rate of each operator. ,4,4,2,3,2,3,2,5,5,4,4,4,4,4,4,4,3,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Literal without Stress,Literal without Stress,Literal without Stress,Yes I focus more on recognizing each participants' strength and weakness without stress indicator. Because I do not have a clear feedback about the stress level of operators reacting to an assigned task. ,Yes. It is a very useful metric to reflect an employee's competency to different task.,Yes,Communication between supervisor and operators. Have a better insight of operators' stress level.,Real time monitoring their stress level in the workplace to better understand their status. ,I would prefer both symbolic and literal stress indicator. It helps me better understand the status of each operator in a team. ,nan
121,Male,24,Right-handed,5,5,5,Symbolic Stress,Symbolic,Stress,2,3,825.656,795.272,30.3839999999999,0.5033333333333333,152.0,25.0,0.8587570621468926,146.39,0.8587570621468926,10.63808656389586,5,3,3,4,1,1,4,3,8,2,3,5,1,4,7,6,Mainly looking at the stress graph and trying to extrapolate from it whether the operator will handle a new task successfully.,3,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,Literal with Stress,Symbolic with Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"My strategy changed in every condition I believe, depending on the available information (stress or no stress), but also because of how fast and how easy it was to read the information.",Definitely yes. Especially the graph. Tells how fast operators begin stressing and makes it much easier for the manager to choose to give tasks to.,No,Some information were easier to read.,Stress graph!!,Keep non-crucial information (such as task history) as text - everything else should be visual,"Pretty cool simulation! My only concerns were framerate and the cubes. The low framerate made me a bit sick, and the cubes were a bit hard to handle - throwing them would sometimes fail and also their constant movement when there are too many of them is distracting. I'd also disable any feedback (particles+vibration) *unless* it actually hits an operator or fall into a basket (as a confirmation if you will).
Other than that, had fun playing around with it :p"
122,Male,26,Right-handed,4,4,4,Symbolic Stress,Symbolic,Stress,2,4,747.918,251.117,496.80100000000004,0.5366666666666667,51.0,122.0,0.2947976878612717,52.61,0.2947976878612717,4.220516152840284,5,3,3,2,4,3,5,4,8,3,5,1,4,2,7,6,watching the stress plot to assign the tasks,3,3,3,3,4,2,3,3,2,2,2,2,2,2,2,2,2,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Literal without Stress,Symbolic with Stress,Symbolic without Stress,Symbolic without Stress,Symbolic with Stress,"no, i always keep tracking the successful rate and the stress, and it help me a lot ","yes, when the stress goes up, i can see the successful rate goes down, and if i don't have the feedback on the stress, the only matrix is the successful rate and the task queue. ",Yes,"task queue, success/failure, score",stress,"stress, success/failure ",nan
123,Male,51,Right-handed,2,2,2,Symbolic Stress,Symbolic,Stress,2,2,789.943,723.027,66.91599999999994,0.5433333333333333,39.0,135.0,0.22413793103448276,38.35,0.22413793103448276,2.9128683968336957,5,2,2,5,2,3,4,5,7,3,2,4,1,5,6,8,try to increase the score of each while considering the stress level as a chance of success. Wait stress to go down before reallocating tasks<,4,3,1,2,3,2,1,4,4,5,5,4,4,4,5,5,3,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,Yes. Try to guess the stress and the probability of increasing score with other information such as portion of time and task queue,Yes to guess the positive impact of the task allocation on the score,Yes,Score value,curve of stress with colors,keep literal score and stress curve,nan
124,Male,27,Right-handed,5,5,5,Symbolic Stress,Symbolic,Stress,2,1,861.589,675.058,186.53100000000006,0.48999999999999994,160.0,17.0,0.903954802259887,160.04000000000002,0.903954802259887,11.144989084122477,5,4,3,4,2,3,3,4,8,6,3,7,1,2,5,4,I generally checked to see if a worker was at low stress and how many tasks they had remaining. I noticed some workers would gain stress more quickly so I tended to space out dispatching tasks to them to give them time to rest while prioritizing those that gained stress less quickly. If a worker was very low stress and gained it slowly I would give them multiple tasks at a time.,4,4,3,4,4,3,2,4,4,4,5,5,3,4,5,4,4,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,"Yes, without the stress indicator I had to look for other insights from the other data. I thought perhaps the animations indicated stress though I realized this was not the case quite quickly in the conditions with the stress indicators. When there was not stress indicators I typically looked at how often a worker was failing a task, often watching to see how the number/graphic changed so I could try to guess their stress level.","Yes, I think without them there was a lot of guess work. I could only really tell if a worker was stressed by when they failed tasks or didn't.",Yes,I found keeping track of success rate and score easier in the literal conditions. I also liked seeing the history of their stress levels as it was sometimes clearer than keeping track of a graph. I also found it easier to use the task queue in the literal conditions.,"I preferred the graph for stress, although the text in the literal condition was easy to read I liked to be able to visualize the rate of change of stress so I could approximate how high it might go with each task.",I think I would include the % number alongside the stress graph and the successes and failures. I would also probably use the task queue from the literal visualizations.,This was a very interesting and engaging study! I really enjoyed it!
101,Male,27,Right-handed,3,4,4,Literal No Stress,Literal,No Stress,3,4,580.847,409.129,171.71799999999996,0.555,91.0,84.0,0.52,89.1,0.52,9.203800656627305,N/A,3,3,3,2,2,4,4,N/A,4,3,2,1,5,6,7,Make the success and score not too low.,4,4,2,3,4,4,4,4,5,5,5,5,5,5,5,5,4,Symbolic with Stress,Symbolic with Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,"Yes, since different representations have different intuitive feeling for me, this has led to a change in focus of my cognition.","Yes, it's about the efficiency of the error rate.",Yes,straightforward and simple,beautiful and three-dimensional,May be Literal.,hope have more interactions
102,Male,19,Right-handed,3,1,1,Literal No Stress,Literal,No Stress,3,2,623.484,470.383,153.10100000000006,0.5233333333333333,97.0,76.0,0.5606936416184971,99.33000000000001,0.5606936416184971,9.558865985334027,N/A,2,4,5,1,5,5,5,N/A,2,3,4,1,6,5,7,Allocate more tasks for the faster one as possible as they can gain higher results with less fatigue,4,5,3,3,4,3,5,4,5,4,3,5,4,5,4,3,4,Literal with Stress,Literal with Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,"sure,it is because when condition changed the thing I focus changed, so I try to change strategy to keep stress less and score more","Yes, as it is a more intuitive method of increasing success to gain scores compared to making a assumption and estimating the rate of success by the portion of working time.",No,"Task queue and history as if it is too outstanding ,it might impact your focus and the speed you made decision.","success and stress, since it is very intuitive to estimate your current results","Task queue,Current task completion, All task completion, and task history-literal and the other things could be symbolic.","If it is possible, I prefer the redesign of component,  the most frequently used part(for example,  I really prefer using the stress, the score,etc) could be highlighted or resized larger while the less frequently used part like Task history ,which can be indirectly used to estimate the stress, can be resized smaller or removed."
103,Male,37,Right-handed,3,4,4,Literal No Stress,Literal,No Stress,3,1,465.261,199.801,265.46000000000004,0.6416666666666667,49.0,123.0,0.28488372093023256,47.120000000000005,0.28488372093023256,6.076589269248873,N/A,4,2,1,1,3,5,5,N/A,5,4,3,1,2,6,7,Give tasks to operators with the highest success rate who were not busy,3,4,2,4,4,4,3,3,3,4,4,5,5,4,4,4,3,Symbolic without Stress,Literal with Stress,Symbolic with Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic with Stress,"Yes, because in the absence of a stress indicator, I focused more on success score.","Yes, as the coordinator, I appreciated knowing how stress operators were.",Yes,The scores are best as a number because you can remember them easier.,The stress chart was great help and gives a sense of how fats stress increases/decreases.,Both stress and success score could be both literal and symbolic.,"No, thank you Tom!"
104,Male,18,Right-handed,4,2,2,Literal No Stress,Literal,No Stress,3,3,637.304,397.550,239.75399999999996,0.47833333333333333,140.0,35.0,0.8,139.55,0.8,13.138156986304809,N/A,1,5,5,1,3,5,5,N/A,2,6,5,1,4,7,3,"at first i dispatch tasks to all operator to estimate their speed of stress recovery and task completing speed. then i will try to dispatch more task to the better performance one and try to keep it's sucess rate above 80 or 85 , in the meanwhile those lower performance operators will be dispatched task between the time of the fastest operators completing tasks. It is a very common strategy on strategic video games and i use it many times. ",5,5,3,4,3,4,1,4,4,4,5,4,4,5,4,5,5,Literal with Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"yes, because i can see different data of each operator like their stress and sucess rate, so i have to change my strategy e.g. it used to have stress graph which change simutaneously , but then the next scenerio changed it to a pending update one which cause me have to give everyone operator a try in order to calculate speed of each one, wasting some score.","Yes, because the stress level is related  to the operator's task sucess rate, if a operator have a score arte of 99% but the stress is at 90 %, it is possible to waste the task, time and score on this operators, so i think stress feedback is important because it decide whether you can get a score or not.",No,"The stress graph have 2 important data for me, one is % of stress and other is level(low,medium,high), i think if the stress is at 30 % and the '30%' was able to be inlined as green, the level below it, 'low' such also be inlined as green .","To add the sucess rate so that i can calculate fast, and the stress graph can add a overall % above the graph so that i won't have to wait and estimate how long the stress level goes down to 'low' level. ","a stress board from Literal with sucess rate and score rate board , remove thetask history and replace by others board like stress graph from symbolic.","Sometime the operator status board was cover by others operator's status board, it would be better to fix that. Also the table is not large enough, there were few times where i drop some box on the floor and it respawn on the top, the table were full of boxs and the box were drop into the operator's black box, it would be better to have ab igger table and just turn the table into a bucket so thing inside won't fell out."
105,Female,27,Right-handed,3,1,3,Literal No Stress,Literal,No Stress,3,4,599.619,204.118,395.50100000000003,0.5133333333333333,107.0,66.0,0.6184971098265896,109.67000000000002,0.6184971098265896,10.973968469978438,N/A,3,4,2,2,2,5,5,N/A,5,4,2,3,1,7,6,Watching the failure success/failure rate and how many tasks are in the queue,5,2,1,1,4,2,1,5,4,5,5,5,5,5,5,5,5,Literal without Stress,Literal without Stress,Literal with Stress,Symbolic with Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Symbolic without Stress,"Yes, depending if I had a symbolic or non symbolic layout I used different features stronger or less","yes, I would like to have an overview of the stress level has it helps to decide when to integrate breaks",Yes,"Less text, if literal then number based","easy understanding of the information provided, more intuitive","stress level in percentage, success/failure rate from literal environment (last one), task queue & history from literal because it's less confusing,","I would integrate ""I liked"" and ""I don't liked"" questions into each test questionnaire because it was harder for me to remember what specifically I preferred or not"
106,Male,28,Right-handed,5,5,5,Literal No Stress,Literal,No Stress,3,2,650.919,449.465,201.454,0.4883333333333333,122.0,51.0,0.7052023121387283,125.13999999999999,0.7052023121387283,11.535075792840583,N/A,5,5,4,3,5,5,5,N/A,6,4,2,1,3,7,5,Focused on the success failure to help figure out how stressed an operator is and that way I give them time to rest. ,5,4,2,1,4,4,1,5,4,5,5,5,5,5,5,5,5,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"Yes, when I have the stress I can focus mainly on that. But when I don't I have to focus on multiple other thing such as: Success/Failure and score.","Really helpful, helps predict next tasks success probability. And therefore, helps with assigning tasks or let operators rest.",Yes,The success/failure rate,The Stress levels,Use the symbolic stress and the literal success/failure representation. the other components are good in both.,"Try adding different skilled operators, and maybe rather than just success or failure (true or false) add the success rate of each task. (if an operator achieves 65 success of a task, it might increase their stress with the next task)"
